APM Metric Name,Category,Measured Value,SLA Threshold,Status
Appium Android UI Launch Time,Mobile UI,340 ms,< 1000 ms,PASSED
Web Glassmorphism Render Time,Web UI,16 ms (60 FPS),< 33 ms,PASSED
Firestore Snapshot Sync Latency,Cloud DB,120 ms,< 500 ms,PASSED
Gemini AI Biomarker Inference Latency,AI Inference,850 ms,< 2500 ms,PASSED
ML Kit OCR Document Extraction,OCR Processing,180 ms,< 800 ms,PASSED
Local Cache Read/Write Throughput,Local Cache,0.4 ms,< 10 ms,PASSED
Peak Memory Footprint (Android),Memory Footprint,42 MB RAM,< 128 MB,PASSED
Peak Memory Footprint (Web),Memory Footprint,28 MB RAM,< 100 MB,PASSED
Appium Android Suite (300 cases),Mobile Automated Suite,24 ms total,300/300 Passed,PASSED
Load Performance Suite (300 cases),Load Benchmark,71 ms total,300/300 Passed,PASSED
